"City","Region","Population","Country","city_country"
"Ghazni","Ghazni","190,400","Afghanistan","Ghazni, Afghanistan"
"Herat","Herat","592,900","Afghanistan","Herat, Afghanistan"
"Jalalabad","Nangarhar","280,600","Afghanistan","Jalalabad, Afghanistan"
"Kabul","Kabul","4,601,700","Afghanistan","Kabul, Afghanistan"
"Kandahar","Kandahar","651,400","Afghanistan","Kandahar, Afghanistan"
"Khost","Khost","160,214","Afghanistan","Khost, Afghanistan"
"Kunduz","Kunduz","268,800","Afghanistan","Kunduz, Afghanistan"
"Lashkargah","Helmand","201,500","Afghanistan","Lashkargah, Afghanistan"
"Mazar-i-Sharif","Balkh","500,200","Afghanistan","Mazar-i-Sharif, Afghanistan"
"Mihtarlam","Laghman","144,162","Afghanistan","Mihtarlam, Afghanistan"
"Puli Khumri","Baghlan","221,200","Afghanistan","Puli Khumri, Afghanistan"
"Sar-e Pol","Sar-e Pol","164,500","Afghanistan","Sar-e Pol, Afghanistan"
"Sheberghan","Jowzjan","175,599","Afghanistan","Sheberghan, Afghanistan"
"Taloqan","Takhar","196,400","Afghanistan","Taloqan, Afghanistan"
"Tirana","Tirana","418,495","Albania","Tirana, Albania"
"Durrës","Durrës","113,249","Albania","Durrës, Albania"
"Aflou","Laghouat","102,000","Algeria","Aflou, Algeria"
"Aïn Beïda","Oum El Bouaghi","116,000","Algeria","Aïn Beïda, Algeria"
"Aïn Oussera","Djelfa","134,100","Algeria","Aïn Oussera, Algeria"
"Algiers","Algiers","3,915,800","Algeria","Algiers, Algeria"
"Annaba","Annaba","257,300","Algeria","Annaba, Algeria"
"Barika","Batna","104,300","Algeria","Barika, Algeria"
"Batna","Batna","290,600","Algeria","Batna, Algeria"
"Béchar","Béchar","165,600","Algeria","Béchar, Algeria"
"Bejaïa","Béjaïa","177,900","Algeria","Bejaïa, Algeria"
"Beskra","Biskra","307,900","Algeria","Beskra, Algeria"
"Bordj Bou Arréridj","Bordj Bou Arréridj","158,800","Algeria","Bordj Bou Arréridj, Algeria"
"Bou Saâda","M'Sila","111,700","Algeria","Bou Saâda, Algeria"
"Chlef","Chlef","178,600","Algeria","Chlef, Algeria"
"El Boulaïda","Blida","182,400","Algeria","El Boulaïda, Algeria"
"El Djelfa","Djelfa","339,200","Algeria","El Djelfa, Algeria"
"El Eulma","Sétif","355,000","Algeria","El Eulma, Algeria"
"El Oued","El Oued","134,600","Algeria","El Oued, Algeria"
"Ghardaïa","Ghardaïa","142,900","Algeria","Ghardaïa, Algeria"
"Ghilizane","Relizane","123,200","Algeria","Ghilizane, Algeria"
"Guelma","Guelma","120,000","Algeria","Guelma, Algeria"
"Jijel","Jijel","131,500","Algeria","Jijel, Algeria"
"Khenchela","Khenchela","114,400","Algeria","Khenchela, Algeria"
"Laghouat","Laghouat","134,300","Algeria","Laghouat, Algeria"
"Maghnia","Tlemcen","114,600","Algeria","Maghnia, Algeria"
"Lemdiyya","Médéa","145,400","Algeria","Lemdiyya, Algeria"
"Mestghanem","Mostaganem","245,300","Algeria","Mestghanem, Algeria"
"Mouaskar","Mascara","108,600","Algeria","Mouaskar, Algeria"
"M'Sila","M'Sila","132,900","Algeria","M'Sila, Algeria"
"Qacentina","Constantine","464,200","Algeria","Qacentina, Algeria"
"Saïda","Saïda","142,400","Algeria","Saïda, Algeria"
"Sidi-bel-Abbès","Sidi Bel Abbès","212,900","Algeria","Sidi-bel-Abbès, Algeria"
"Skikda","Skikda","182,900","Algeria","Skikda, Algeria"
"Souk Ahras","Souk Ahras","156,700","Algeria","Souk Ahras, Algeria"
"Sétif","Sétif","788,400","Algeria","Sétif, Algeria"
"Tébessa","Tébessa","196,500","Algeria","Tébessa, Algeria"
"Tiaret","Tiaret","178,900","Algeria","Tiaret, Algeria"
"Tlemsen","Tlemcen","377,400","Algeria","Tlemsen, Algeria"
"Tizi Ouzou","Tizi Ouzou","142,900","Algeria","Tizi Ouzou, Algeria"
"Oran","Oran","803,300","Algeria","Oran, Algeria"
"Ouargla","Ouargla","133,000","Algeria","Ouargla, Algeria"
"Benguela","Benguela","561,700","Angola","Benguela, Angola"
"Caála","Huambo","279,700","Angola","Caála, Angola"
"Cabinda","Cabinda","624,600","Angola","Cabinda, Angola"
"Cubal","Benguela","305,600","Angola","Cubal, Angola"
"Dundo","Lunda Norte","177,600","Angola","Dundo, Angola"
"Gabela","Cuanza Sul","184,700","Angola","Gabela, Angola"
"Huambo","Huambo","713,100","Angola","Huambo, Angola"
"Kuito","Bié","450,800","Angola","Kuito, Angola"
"Lobito","Benguela","393,000","Angola","Lobito, Angola"
"Luanda","Luanda","2,571,800","Angola","Luanda, Angola"
"Lubango","Huíla","776,200","Angola","Lubango, Angola"
"Lucapa","Lunda Norte","154,300","Angola","Lucapa, Angola"
"Luena","Moxico","357,400","Angola","Luena, Angola"
"Malanje","Malanje","506,800","Angola","Malanje, Angola"
"M'banza-Kongo","Zaire","180,300","Angola","M'banza-Kongo, Angola"
"Menongue","Cuando Cubango","320,900","Angola","Menongue, Angola"
"Moçâmedes","Namibe","292,500","Angola","Moçâmedes, Angola"
"Negage","Uíge","137,500","Angola","Negage, Angola"
"N'dalatando","Cuanza Norte","168,800","Angola","N'dalatando, Angola"
"Ondjiva","Cunene","187,900","Angola","Ondjiva, Angola"
"Quilamba","Luanda","129,000","Angola","Quilamba, Angola"
"Saurimo","Lunda Sul","442,400","Angola","Saurimo, Angola"
"Soyo","Zaire","266,900","Angola","Soyo, Angola"
"Sumbe","Cuanza Sul","279,900","Angola","Sumbe, Angola"
"Uíge","Uíge","616,600","Angola","Uíge, Angola"
"Bahía Blanca","Buenos Aires","334,505","Argentina","Bahía Blanca, Argentina"
"Bariloche","Río Negro","161,443","Argentina","Bariloche, Argentina"
"Berisso","Buenos Aires","100,685","Argentina","Berisso, Argentina"
"Buenos Aires","Autonomous City of Buenos Aires","10,801,336","Argentina","Buenos Aires, Argentina"
"Campana","Buenos Aires","107,976","Argentina","Campana, Argentina"
"Catamarca","Catamarca","186,466","Argentina","Catamarca, Argentina"
"Comodoro Rivadavia","Chubut","214,829","Argentina","Comodoro Rivadavia, Argentina"
"Concordia","Entre Ríos","197,603","Argentina","Concordia, Argentina"
"Córdoba","Córdoba","1,498,060","Argentina","Córdoba, Argentina"
"Corrientes","Corrientes","437,446","Argentina","Corrientes, Argentina"
"Formosa","Formosa","268,572","Argentina","Formosa, Argentina"
"Godoy Cruz","Mendoza","194,557","Argentina","Godoy Cruz, Argentina"
"Las Heras","Mendoza","233,839","Argentina","Las Heras, Argentina"
"Luján de Cuyo","Mendoza","171,883","Argentina","Luján de Cuyo, Argentina"
"Mar del Plata","Buenos Aires","660,569","Argentina","Mar del Plata, Argentina"
"Mendoza","Mendoza","123,715","Argentina","Mendoza, Argentina"
"Neuquén","Neuquén","467,217","Argentina","Neuquén, Argentina"
"Paraná","Entre Ríos","388,716","Argentina","Paraná, Argentina"
"La Plata","Buenos Aires","756,074","Argentina","La Plata, Argentina"
"Posadas","Misiones","391,498","Argentina","Posadas, Argentina"
"Resistencia","Chaco","413,764","Argentina","Resistencia, Argentina"
"Río Cuarto","Córdoba","277,979","Argentina","Río Cuarto, Argentina"
"Río Gallegos","Santa Cruz","137,309","Argentina","Río Gallegos, Argentina"
"La Rioja","La Rioja","210,507","Argentina","La Rioja, Argentina"
"Rosario","Santa Fe","1,337,958","Argentina","Rosario, Argentina"
"Salta","Salta","624,003","Argentina","Salta, Argentina"
"San Juan","San Juan","260,769","Argentina","San Juan, Argentina"
"San Luis","San Luis","221,400","Argentina","San Luis, Argentina"
"San Martín","Mendoza","139,406","Argentina","San Martín, Argentina"
"San Nicolás","Buenos Aires","166,657","Argentina","San Nicolás, Argentina"
"San Rafael","Mendoza","213,204","Argentina","San Rafael, Argentina"
"San Salvador de Jujuy","Jujuy","319,469","Argentina","San Salvador de Jujuy, Argentina"
"Santa Fe","Santa Fe","568,259","Argentina","Santa Fe, Argentina"
"Santa Rosa","La Pampa","118,504","Argentina","Santa Rosa, Argentina"
"Santiago del Estero","Santiago del Estero","328,824","Argentina","Santiago del Estero, Argentina"
"Tucumán","Tucumán","587,289","Argentina","Tucumán, Argentina"
"Trelew","Chubut","144,420","Argentina","Trelew, Argentina"
"Yerevan","Yerevan","1,086,677","Armenia","Yerevan, Armenia"
"Gyumri","Shirak","112,301","Armenia","Gyumri, Armenia"
"Sydney","New South Wales","4,698,656","Australia","Sydney, Australia"
"Melbourne","Victoria","4,585,537","Australia","Melbourne, Australia"
"Brisbane","Queensland","2,287,896","Australia","Brisbane, Australia"
"Perth","Western Australia","2,043,762","Australia","Perth, Australia"
"Adelaide","South Australia","1,245,011","Australia","Adelaide, Australia"
"Gold Coast","Queensland","607,665","Australia","Gold Coast, Australia"
"Canberra","Australian Capital Territory","452,670","Australia","Canberra, Australia"
"Newcastle","New South Wales","348,539","Australia","Newcastle, Australia"
"Central Coast","New South Wales","325,255","Australia","Central Coast, Australia"
"Sunshine Coast","Queensland","284,131","Australia","Sunshine Coast, Australia"
"Wollongong","New South Wales","280,153","Australia","Wollongong, Australia"
"Hobart","Tasmania","197,451","Australia","Hobart, Australia"
"Geelong","Victoria","180,239","Australia","Geelong, Australia"
"Townsville","Queensland","173,724","Australia","Townsville, Australia"
"Cairns","Queensland","153,181","Australia","Cairns, Australia"
"Darwin","Northern Territory","122,207","Australia","Darwin, Australia"
"Toowoomba","Queensland","108,398","Australia","Toowoomba, Australia"
"Ballarat","Victoria","105,348","Australia","Ballarat, Australia"
"Bendigo","Victoria","100,649","Australia","Bendigo, Australia"
"Graz","Styria","291,134","Austria","Graz, Austria"
"Innsbruck","Tyrol","131,059","Austria","Innsbruck, Austria"
"Klagenfurt","Carinthia","101,765","Austria","Klagenfurt, Austria"
"Linz","Upper Austria","206,537","Austria","Linz, Austria"
"Salzburg","Salzburg","155,416","Austria","Salzburg, Austria"
"Vienna","Vienna","1,920,949","Austria","Vienna, Austria"
"Baku","Baku","2,336,600","Azerbaijan","Baku, Azerbaijan"
"Ganja","Ganja-Dashkasan","330,300","Azerbaijan","Ganja, Azerbaijan"
"Mingachevir","Central Aran","102,400","Azerbaijan","Mingachevir, Azerbaijan"
"Sumgait","Absheron-Khizi","426,000","Azerbaijan","Sumgait, Azerbaijan"
"Nassau","New Providence","296,522","Bahamas","Nassau, Bahamas"
"Manama","Capital","297,502","Bahrain","Manama, Bahrain"
"Muharraq","Muharraq","176,583","Bahrain","Muharraq, Bahrain"
"Hamad Town","Northern","133,550","Bahrain","Hamad Town, Bahrain"
"Riffa","Southern","115,495","Bahrain","Riffa, Bahrain"
"A'ali","Northern","100,533","Bahrain","A'ali, Bahrain"
"Barisal","Barisal","328,200","Bangladesh","Barisal, Bangladesh"
"Chittagong","Chittagong","8,440,000","Bangladesh","Chittagong, Bangladesh"
"Comilla","Chittagong","296,000","Bangladesh","Comilla, Bangladesh"
"Dhaka","Dhaka","8,906,000","Bangladesh","Dhaka, Bangladesh"
"Gazipur","Dhaka","213,000","Bangladesh","Gazipur, Bangladesh"
"Khulna","Khulna","663,300","Bangladesh","Khulna, Bangladesh"
"Mymensingh","Mymensingh","476,300","Bangladesh","Mymensingh, Bangladesh"
"Narayanganj","Dhaka","286,300","Bangladesh","Narayanganj, Bangladesh"
"Rajshahi","Rajshahi","763,900","Bangladesh","Rajshahi, Bangladesh"
"Rangpur","Rangpur","407,000","Bangladesh","Rangpur, Bangladesh"
"Bogra","Rajshahi","400,983","Bangladesh","Bogra, Bangladesh"
"Sylhet","Sylhet","526,400","Bangladesh","Sylhet, Bangladesh"
"Jashore","Khulna","237,478","Bangladesh","Jashore, Bangladesh"
"Bridgetown","Saint Michael","110,000","Barbados","Bridgetown, Barbados"
"Babruysk","Mogilev","208,611","Belarus","Babruysk, Belarus"
"Baranavichy","Brest","172,150","Belarus","Baranavichy, Belarus"
"Barysaw","Minsk","136,409","Belarus","Barysaw, Belarus"
"Brest","Brest","342,461","Belarus","Brest, Belarus"
"Gomel","Gomel","501,802","Belarus","Gomel, Belarus"
"Grodno","Grodno","358,717","Belarus","Grodno, Belarus"
"Lida","Grodno","103,915","Belarus","Lida, Belarus"
"Mazyr","Gomel","105,321","Belarus","Mazyr, Belarus"
"Minsk","City of Minsk","1,995,471","Belarus","Minsk, Belarus"
"Mogilev","Mogilev","353,338","Belarus","Mogilev, Belarus"
"Orsha","Vitebsk","103,658","Belarus","Orsha, Belarus"
"Pinsk","Brest","124,613","Belarus","Pinsk, Belarus"
"Vitebsk","Vitebsk","359,148","Belarus","Vitebsk, Belarus"
"Anderlecht","Brussels","125,883","Belgium","Anderlecht, Belgium"
"Antwerp","Flanders","542,417","Belgium","Antwerp, Belgium"
"Bruges","Flanders","119,748","Belgium","Bruges, Belgium"
"Brussels","Brussels","195,546","Belgium","Brussels, Belgium"
"Charleroi","Wallonia","203,950","Belgium","Charleroi, Belgium"
"Ghent","Flanders","269,191","Belgium","Ghent, Belgium"
"Liège","Wallonia","194,994","Belgium","Liège, Belgium"
"Leuven","Flemish","103,868","Belgium","Leuven, Belgium"
"Namur","Wallonia","114,007","Belgium","Namur, Belgium"
"Schaerbeek","Brussels","129,853","Belgium","Schaerbeek, Belgium"
"Cotonou","Littoral","679,012","Benin","Cotonou, Benin"
"Porto-Novo","Ouémé","264,320","Benin","Porto-Novo, Benin"
"Parakou","Borgou","255,478","Benin","Parakou, Benin"
"Godomey","Atlantique","253,262","Benin","Godomey, Benin"
"Abomey-Calavi","Atlantique","117,824","Benin","Abomey-Calavi, Benin"
"Thimphu","Thimphu","114,551","Bhutan","Thimphu, Bhutan"
"Cochabamba","Cochabamba","841,200","Bolivia","Cochabamba, Bolivia"
"El Alto","La Paz","943,500","Bolivia","El Alto, Bolivia"
"La Paz","La Paz","816,000","Bolivia","La Paz, Bolivia"
"Montero","Santa Cruz","107,200","Bolivia","Montero, Bolivia"
"Oruro","Oruro","302,600","Bolivia","Oruro, Bolivia"
"Potosí","Potosí","189,600","Bolivia","Potosí, Bolivia"
"Quillacollo","Cochabamba","117,800","Bolivia","Quillacollo, Bolivia"
"Sacaba","Cochabamba","169,400","Bolivia","Sacaba, Bolivia"
"Santa Cruz","Santa Cruz","1,867,600","Bolivia","Santa Cruz, Bolivia"
"Sucre","Chuquisaca","259,300","Bolivia","Sucre, Bolivia"
"Tarija","Tarija","247,000","Bolivia","Tarija, Bolivia"
"Trinidad","Beni","130,600","Bolivia","Trinidad, Bolivia"
"Sarajevo","Sarajevo Canton","348,363","Bosnia_and_Herzegovina","Sarajevo, Bosnia_and_Herzegovina"
"Banja Luka","Republika Srpska","135,059","Bosnia_and_Herzegovina","Banja Luka, Bosnia_and_Herzegovina"
"Gaborone","South-East District","246,325","Botswana","Gaborone, Botswana"
"Francistown","North-East District","103,417","Botswana","Francistown, Botswana"
"Abaetetuba","Pará","159,000","Brazil","Abaetetuba, Brazil"
"Abreu e Lima","Pernambuco","100,300","Brazil","Abreu e Lima, Brazil"
"Açailândia","Maranhão","113,100","Brazil","Açailândia, Brazil"
"Aguas Lindas de Goiás","Goiás","217,600","Brazil","Aguas Lindas de Goiás, Brazil"
"Alagoinhas","Bahia","152,300","Brazil","Alagoinhas, Brazil"
"Almirante Tamandaré","Paraná","120,000","Brazil","Almirante Tamandaré, Brazil"
"Altamira","Pará","115,900","Brazil","Altamira, Brazil"
"Alvorada","Rio Grande do Sul","211,300","Brazil","Alvorada, Brazil"
"Americana","São Paulo","242,000","Brazil","Americana, Brazil"
"Ananindeua","Pará","535,500","Brazil","Ananindeua, Brazil"
"Anápolis","Goiás","391,700","Brazil","Anápolis, Brazil"
"Angra dos Reis","Rio de Janeiro","207,000","Brazil","Angra dos Reis, Brazil"
"Aparecida de Goiania","Goiás","590,100","Brazil","Aparecida de Goiania, Brazil"
"Apucarana","Paraná","136,200","Brazil","Apucarana, Brazil"
"Aracaju","Sergipe","664,900","Brazil","Aracaju, Brazil"
"Araçatuba","São Paulo","196,100","Brazil","Araçatuba, Brazil"
"Aracruz","Espírito Santo","104,900","Brazil","Aracruz, Brazil"
"Araguaina","Tocantins","183,300","Brazil","Araguaina, Brazil"
"Araguari","Minas Gerais","116,900","Brazil","Araguari, Brazil"
"Arapiraca","Alagoas","233,000","Brazil","Arapiraca, Brazil"
"Arapongas","Paraná","124,800","Brazil","Arapongas, Brazil"
"Araraquara","São Paulo","238,300","Brazil","Araraquara, Brazil"
"Araras","São Paulo","133,500","Brazil","Araras, Brazil"
"Araruama","Rio de Janeiro","134,200","Brazil","Araruama, Brazil"
"Araucária","Paraná","146,200","Brazil","Araucária, Brazil"
"Araxá","Minas Gerais","107,300","Brazil","Araxá, Brazil"
"Ariquemes","Rondônia","109,500","Brazil","Ariquemes, Brazil"
"Assis","São Paulo","105,000","Brazil","Assis, Brazil"
"Atibaia","São Paulo","144,000","Brazil","Atibaia, Brazil"
"Bacabal","Maranhão","104,600","Brazil","Bacabal, Brazil"
"Bagé","Rio Grande do Sul","121,300","Brazil","Bagé, Brazil"
"Balneário Camboriú","Santa Catarina","145,700","Brazil","Balneário Camboriú, Brazil"
"Barbacena","Minas Gerais","138,200","Brazil","Barbacena, Brazil"
"Barcarena","Pará","127,000","Brazil","Barcarena, Brazil"
"Barra do Piraí","Rio de Janeiro","100,700","Brazil","Barra do Piraí, Brazil"
"Barra Mansa","Rio de Janeiro","184,800","Brazil","Barra Mansa, Brazil"
"Barreiras","Bahia","156,900","Brazil","Barreiras, Brazil"
"Barretos","São Paulo","122,800","Brazil","Barretos, Brazil"
"Barueri","São Paulo","276,900","Brazil","Barueri, Brazil"
"Bauru","São Paulo","379,200","Brazil","Bauru, Brazil"
"Belém","Pará","1,499,600","Brazil","Belém, Brazil"
"Belford Roxo","Rio de Janeiro","513,100","Brazil","Belford Roxo, Brazil"
"Belo Horizonte","Minas Gerais","2,721,500","Brazil","Belo Horizonte, Brazil"
"Bento Gonçalves","Rio Grande do Sul","121,800","Brazil","Bento Gonçalves, Brazil"
"Betim","Minas Gerais","444,700","Brazil","Betim, Brazil"
"Birigui","São Paulo","124,800","Brazil","Birigui, Brazil"
"Blumenau","Santa Catarina","361,800","Brazil","Blumenau, Brazil"
"Boa Vista","Roraima","419,600","Brazil","Boa Vista, Brazil"
"Botucatu","São Paulo","148,100","Brazil","Botucatu, Brazil"
"Bragança","Pará","128,900","Brazil","Bragança, Brazil"
"Bragança Paulista","São Paulo","175,500","Brazil","Bragança Paulista, Brazil"
"Brasilia","Distrito Federal","3,039,400","Brazil","Brasilia, Brazil"
"Breves","Pará","103,400","Brazil","Breves, Brazil"
"Brusque","Santa Catarina","137,600","Brazil","Brusque, Brazil"
"Cabo de Santo Agostinho","Pernambuco","208,900","Brazil","Cabo de Santo Agostinho, Brazil"
"Cabo Frio","Rio de Janeiro","230,300","Brazil","Cabo Frio, Brazil"
"Cachoeirinha","Rio Grande do Sul","131,200","Brazil","Cachoeirinha, Brazil"
"Cachoeiro de Itapemirim","Espírito Santo","210,500","Brazil","Cachoeiro de Itapemirim, Brazil"
"Caieiras","São Paulo","102,700","Brazil","Caieiras, Brazil"
"Camacari","Bahia","304,300","Brazil","Camacari, Brazil"
"Camaragibe","Pernambuco","158,800","Brazil","Camaragibe, Brazil"
"Cambé","Paraná","107,300","Brazil","Cambé, Brazil"
"Cametá","Pará","139,300","Brazil","Cametá, Brazil"
"Campina Grande","Paraíba","411,800","Brazil","Campina Grande, Brazil"
"Campinas","São Paulo","1,213,700","Brazil","Campinas, Brazil"
"Campo Grande","Mato Grosso do Sul","906,000","Brazil","Campo Grande, Brazil"
"Campo Largo","Paraná","133,800","Brazil","Campo Largo, Brazil"
"Campos dos Goytacazes","Rio de Janeiro","511,100","Brazil","Campos dos Goytacazes, Brazil"
"Canoas","Rio Grande do Sul","348,200","Brazil","Canoas, Brazil"
"Caraguatatuba","São Paulo","123,300","Brazil","Caraguatatuba, Brazil"
"Carapicuíba","São Paulo","403,100","Brazil","Carapicuíba, Brazil"
"Cariacica","Espírito Santo","383,900","Brazil","Cariacica, Brazil"
"Caruaru","Pernambuco","365,200","Brazil","Caruaru, Brazil"
"Cascavel","Paraná","332,300","Brazil","Cascavel, Brazil"
"Castanhal","Pará","203,200","Brazil","Castanhal, Brazil"
"Catalão","Goiás","110,900","Brazil","Catalão, Brazil"
"Catanduva","São Paulo","122,400","Brazil","Catanduva, Brazil"
"Caucaia","Ceará","365,200","Brazil","Caucaia, Brazil"
"Caxias","Maranhão","165,500","Brazil","Caxias, Brazil"
"Caxias do Sul","Rio Grande do Sul","517,400","Brazil","Caxias do Sul, Brazil"
"Chapecó","Santa Catarina","224,000","Brazil","Chapecó, Brazil"
"Codo","Maranhão","123,100","Brazil","Codo, Brazil"
"Colatina","Espírito Santo","123,400","Brazil","Colatina, Brazil"
"Colombo","Paraná","246,500","Brazil","Colombo, Brazil"
"Conselheiro Lafaiete","Minas Gerais","129,600","Brazil","Conselheiro Lafaiete, Brazil"
"Contagem","Minas Gerais","668,900","Brazil","Contagem, Brazil"
"Coronel Fabriciano","Minas Gerais","110,200","Brazil","Coronel Fabriciano, Brazil"
"Corumbá","Mato Grosso do Sul","112,000","Brazil","Corumbá, Brazil"
"Cotia","São Paulo","253,600","Brazil","Cotia, Brazil"
"Crato","Ceará","133,000","Brazil","Crato, Brazil"
"Criciúma","Santa Catarina","217,300","Brazil","Criciúma, Brazil"
"Cubatao","São Paulo","131,600","Brazil","Cubatao, Brazil"
"Cuiabá","Mato Grosso","618,100","Brazil","Cuiabá, Brazil"
"Curitiba","Paraná","1,948,600","Brazil","Curitiba, Brazil"
"Diadema","São Paulo","426,700","Brazil","Diadema, Brazil"
"Divinópolis","Minas Gerais","240,400","Brazil","Divinópolis, Brazil"
"Dourados","Mato Grosso do Sul","225,400","Brazil","Dourados, Brazil"
"Duque de Caxias","Rio de Janeiro","924,600","Brazil","Duque de Caxias, Brazil"
"Embu","São Paulo","276,500","Brazil","Embu, Brazil"
"Erechim","Rio Grande do Sul","106,600","Brazil","Erechim, Brazil"
"Eunápolis","Bahia","114,300","Brazil","Eunápolis, Brazil"
"Fazenda Rio Grande","Paraná","102,000","Brazil","Fazenda Rio Grande, Brazil"
"Feira de Santana","Bahia","619,600","Brazil","Feira de Santana, Brazil"
"Ferraz de Vasconcelos","São Paulo","196,500","Brazil","Ferraz de Vasconcelos, Brazil"
"Florianópolis","Santa Catarina","508,800","Brazil","Florianópolis, Brazil"
"Formosa","Goiás","123,600","Brazil","Formosa, Brazil"
"Fortaleza","Ceará","2,703,300","Brazil","Fortaleza, Brazil"
"Foz do Iguaçu","Paraná","258,200","Brazil","Foz do Iguaçu, Brazil"
"Franca","São Paulo","355,900","Brazil","Franca, Brazil"
"Francisco Morato","São Paulo","175,600","Brazil","Francisco Morato, Brazil"
"Franco da Rocha","São Paulo","156,400","Brazil","Franco da Rocha, Brazil"
"Garanhuns","Pernambuco","140,500","Brazil","Garanhuns, Brazil"
"Goiânia","Goiás","1,536,000","Brazil","Goiânia, Brazil"
"Governador Valadares","Minas Gerais","281,000","Brazil","Governador Valadares, Brazil"
"Gravatai","Rio Grande do Sul","283,600","Brazil","Gravatai, Brazil"
"Guarapari","Espírito Santo","126,700","Brazil","Guarapari, Brazil"
"Guarapuava","Paraná","182,600","Brazil","Guarapuava, Brazil"
"Guaratinguetá","São Paulo","122,500","Brazil","Guaratinguetá, Brazil"
"Guarujá","São Paulo","322,700","Brazil","Guarujá, Brazil"
"Guarulhos","São Paulo","1,392,100","Brazil","Guarulhos, Brazil"
"Hortolandia","São Paulo","222,100","Brazil","Hortolandia, Brazil"
"Ibirité","Minas Gerais","182,100","Brazil","Ibirité, Brazil"
"Igarassu","Pernambuco","118,300","Brazil","Igarassu, Brazil"
"Iguatu","Ceará","103,000","Brazil","Iguatu, Brazil"
"Ilhéus","Bahia","159,900","Brazil","Ilhéus, Brazil"
"Imperatriz","Maranhão","259,300","Brazil","Imperatriz, Brazil"
"Indaiatuba","São Paulo","256,200","Brazil","Indaiatuba, Brazil"
"Ipatinga","Minas Gerais","265,400","Brazil","Ipatinga, Brazil"
"Itabira","Minas Gerais","120,900","Brazil","Itabira, Brazil"
"Itaboraí","Rio de Janeiro","242,500","Brazil","Itaboraí, Brazil"
"Itabuna","Bahia","213,600","Brazil","Itabuna, Brazil"
"Itaguaí","Rio de Janeiro","120,900","Brazil","Itaguaí, Brazil"
"Itajaí","Santa Catarina","209,000","Brazil","Itajaí, Brazil"
"Itapecerica da Serra","São Paulo","169,100","Brazil","Itapecerica da Serra, Brazil"
"Itapetininga","São Paulo","158,600","Brazil","Itapetininga, Brazil"
"Itapevi","São Paulo","226,500","Brazil","Itapevi, Brazil"
"Itapipoca","Ceará","126,200","Brazil","Itapipoca, Brazil"
"Itaquaquecetuba","São Paulo","356,800","Brazil","Itaquaquecetuba, Brazil"
"Itatiba","São Paulo","114,900","Brazil","Itatiba, Brazil"
"Itu","São Paulo","168,600","Brazil","Itu, Brazil"
"Ituiutaba","Minas Gerais","103,900","Brazil","Ituiutaba, Brazil"
"Itumbiara","Goiás","101,500","Brazil","Itumbiara, Brazil"
"Jaboatao dos Guararapes","Pernambuco","691,100","Brazil","Jaboatao dos Guararapes, Brazil"
"Jacareí","São Paulo","228,200","Brazil","Jacareí, Brazil"
"Jandira","São Paulo","120,200","Brazil","Jandira, Brazil"
"Japeri","Rio de Janeiro","100,600","Brazil","Japeri, Brazil"
"Jaraguá do Sul","Santa Catarina","167,300","Brazil","Jaraguá do Sul, Brazil"
"Jaú","São Paulo","144,800","Brazil","Jaú, Brazil"
"Jequié","Bahia","161,900","Brazil","Jequié, Brazil"
"Ji-Paraná","Rondônia","131,600","Brazil","Ji-Paraná, Brazil"
"Joao Pessoa","Paraíba","801,700","Brazil","Joao Pessoa, Brazil"
"Joinville","Santa Catarina","569,900","Brazil","Joinville, Brazil"
"Juazeiro","Bahia","220,300","Brazil","Juazeiro, Brazil"
"Juàzeiro do Norte","Ceará","268,200","Brazil","Juàzeiro do Norte, Brazil"
"Juiz de Fora","Minas Gerais","559,600","Brazil","Juiz de Fora, Brazil"
"Jundiaí","São Paulo","405,700","Brazil","Jundiaí, Brazil"
"Lagarto","Sergipe","103,200","Brazil","Lagarto, Brazil"
"Lages","Santa Catarina","158,600","Brazil","Lages, Brazil"
"Lauro de Freitas","Bahia","194,600","Brazil","Lauro de Freitas, Brazil"
"Lavras","Minas Gerais","101,200","Brazil","Lavras, Brazil"
"Leme","São Paulo","100,300","Brazil","Leme, Brazil"
"Limeira","São Paulo","298,700","Brazil","Limeira, Brazil"
"Linhares","Espírito Santo","166,500","Brazil","Linhares, Brazil"
"Londrina","Paraná","553,400","Brazil","Londrina, Brazil"
"Luziânia","Goiás","196,900","Brazil","Luziânia, Brazil"
"Macae","Rio de Janeiro","239,500","Brazil","Macae, Brazil"
"Macapá","Amapá","465,500","Brazil","Macapá, Brazil"
"Maceió","Alagoas","1,021,700","Brazil","Maceió, Brazil"
"Magé","Rio de Janeiro","236,300","Brazil","Magé, Brazil"
"Manaus","Amazonas","2,094,400","Brazil","Manaus, Brazil"
"Maraba","Pará","266,900","Brazil","Maraba, Brazil"
"Maracanau","Ceará","223,200","Brazil","Maracanau, Brazil"
"Maranguape","Ceará","125,100","Brazil","Maranguape, Brazil"
"Maricá","Rio de Janeiro","149,900","Brazil","Maricá, Brazil"
"Marília","São Paulo","233,600","Brazil","Marília, Brazil"
"Maringá","Paraná","403,100","Brazil","Maringá, Brazil"
"Marituba","Pará","125,400","Brazil","Marituba, Brazil"
"Mauá","São Paulo","457,700","Brazil","Mauá, Brazil"
"Mesquita","Rio de Janeiro","171,000","Brazil","Mesquita, Brazil"
"Moji das Cruzes","São Paulo","429,300","Brazil","Moji das Cruzes, Brazil"
